"iso3","inc.num","inc.num.sd","e.pop.014"
"GRC",14.78309078,2.195831108,1610317
"GRD",0.669419885,0.064568666,28264
"GRL",0.995,0.07053368,10542
"GTM",1.101473429,0.104946399,5945105
"GUM",0.995,0.07053368,43310
"GUY",58.60429515,6.483833189,227700
"HKG",0.995,0.07053368,859332
"HND",348.1855083,49.19145043,2589881
"HRV",14.26852997,1.885486298,637265
"HTI",2267.333269,273.9495846,3610905
"HUN",1.065589002,0.103094531,1438160
"IDN",68961.51275,11500.26185,71203497
"IND",231623.156,19545.61123,378390886
"IRL",28.3979953,4.006924084,1012124
"IRN",1443.759347,231.4947963,18378315
"IRQ",1645.898276,197.0187155,14514900
"ISL",0.354748233,0.132142982,66837
"ISR",65.97272398,9.81923793,2205115
"ITA",1.071459564,0.103465707,8242271
"JAM",10.65449928,1.733499516,672232
"JOR",29.63820413,4.594353274,2658581
"JPN",1626.279392,203.4193792,16406218
"KAZ",1109.239957,301.7266712,4539352
"KEN",23595.61759,1845.962474,18898854
"KGZ",647.9757239,75.9033703,1814426
"KHM",5606.699953,759.7263653,4874976
"KIR",73.2442779,12.98430344,38675
"KNA",0.995,0.07053368,13929
"KOR",3122.179119,266.6328248,7166993
"KWT",31.2259589,3.95035287,843699
"LAO",1936.220858,336.1912379,2348009
"LBN",81.76461767,10.63652963,1350077
"LBR",415.3266681,50.27628005,1873448
"LBY",242.6761621,36.39656184,1857057
"LCA",0.638950284,0.094272929,43233
"LKA",1483.109674,167.8693587,5111594
"LSO",1982.396194,417.2624843,766027
"LTU",88.21115588,7.890328252,421586
"LUX",0.951804858,0.360524602,92743
"LVA",89.46376036,7.306624892,291017
"MAC",0.995,0.07053368,73946
"MAR",3983.597676,371.5504224,9269777
"MCO",0.995,0.07053368,5850
"MDA",453.343472,51.26775027,642891
"MDG",1.105249875,0.105130202,9909790
"MDV",16.93462225,2.087413956,98578
"MEX",2122.237562,249.3825349,35188628
"MHL",1.081368839,0.099585172,15855
"MKD",32.39910788,3.82145198,355912
"MLI",361.2665948,24.52491555,8122539
"MLT",1.271530488,0.463420627,61625
"MMR",22701.27059,2857.573789,14993075
"MNE",3.915374826,1.418007909,117976
"MNG",591.6913354,70.8839634,811839
"MNP",0.995,0.07053368,16348
"MOZ",1.106273875,0.105179222,12387401
"MRT",700.2216718,138.1233501,1598104
"MSR",0.995,0.07053368,1292
"MUS",14.71560747,4.743409108,251698
"MWI",4719.159062,1105.09428,7573117
"MYS",2971.465852,427.8613329,7479112
"NAM",1382.957872,192.6502425,887129
"NCL",0.995,0.07053368,58308
"NER",2461.444892,272.8722926,9634994
"NGA",71130.67051,13707.01441,78215760
"NIC",2359.93135,143.0701239,1835685
"NIU",0.995,0.07053368,483
"NLD",73.70376353,10.59635124,2816758
"NOR",1.064895496,0.10287525,930569
"NPL",3968.342948,466.6032483,9443001
"NRU",0.995,0.07053368,3050
"NZL",36.99437056,5.190167375,912265
"OMN",23.48869656,3.223028788,894206
"PAK",49341.98415,7915.023918,65115095
"PAN",138.3334014,20.43193129,1062645
"PER",1.082064197,0.104020449,8727371
"PHL",35496.08917,3905.277137,31949794
"PLW",0.995,0.07053368,6324
"PNG",4005.705431,879.0490832,2801768
"POL",561.5779747,69.39323534,5747994
"PRI",0.995,0.07053368,707004
"PRK",14391.10206,1577.314089,5365420
"PRT",160.5623289,18.65089174,1480382
"PRY",286.3389237,22.79459456,2003152
"PSE",0.995,0.07053368,1842957
"PYF",0.995,0.07053368,62867
